x,y,DISTANCE,n,risk,safe_first
1414,1669,254.6,1,1,risky first
1594,1849,254.6,1,1,risky first
1774,2029,254.6,1,1,risky first
1954,2056,182,1,1,risky first
1891,2005,81.1,1,1,risky first
1711,1825,254.6,1,1,risky first
1531,1708,214.7,1,1,risky first
1351,1597,211.5,1,1,risky first
1171,1489,209.9,1,1,risky first
1126,1639,156.6,1,1,risky first
1189,1819,190.7,1,1,risky first
1261,1999,193.9,1,1,risky first
1441,2179,254.6,1,1,risky first
1621,2047,223.2,1,1,risky first
1801,2035,180.4,1,1,risky first
1981,2035,180,1,1,risky first
1990,1990,45.9,1,1,risky first
1885,2098,150.6,1,1,risky first
1705,2149,187.1,1,1,risky first
1525,2095,187.9,1,1,risky first
1345,2005,201.2,1,1,risky first
1237,1825,209.9,1,1,risky first
1084,1789,157.2,1,1,risky first
943,1609,228.7,1,1,risky first
1057,1429,213.1,1,1,risky first
1237,1312,214.7,1,1,risky first
1417,1297,180.6,1,1,risky first
1597,1309,180.4,1,1,risky first
1777,1489,254.6,1,1,risky first
1933,1669,238.2,1,1,risky first
1972,1849,184.2,1,1,risky first
2044,2029,193.9,1,1,risky first
1864,1984,185.5,1,1,risky first
1684,1867,214.7,1,1,risky first
1504,1765,206.9,1,1,risky first
1324,1651,213.1,1,1,risky first
1144,1471,254.6,1,1,risky first
1324,1609,226.8,1,1,risky first
1504,1789,254.6,1,1,risky first
1684,1882,202.6,1,1,risky first
1864,2002,216.3,1,1,risky first
1981,2089,145.8,1,1,risky first
1801,1924,244.2,1,1,risky first
1621,1762,242.2,1,1,risky first
1441,1654,209.9,1,1,risky first
1261,1546,209.9,1,1,risky first
1114,1600,156.6,1,1,risky first
1147,1780,183,1,1,risky first
1327,1960,254.6,1,1,risky first
1273,2140,187.9,1,1,risky first
1093,2119,181.2,1,1,risky first
985,1939,209.9,1,1,risky first
985,1759,180,1,1,risky first
1057,1579,193.9,1,1,risky first
1153,1411,193.5,1,1,risky first
1159,1447,36.5,1,1,risky first
1321,1627,242.2,1,1,risky first
1492,1807,248.3,1,1,risky first
1492,1987,180,1,1,risky first
1672,2023,183.6,1,1,risky first
1660,1987,37.9,1,1,risky first
1489,2113,212.4,1,1,risky first
1534,2293,185.5,1,1,risky first
1714,2416,218,1,1,risky first
1894,2416,180,1,1,risky first
2074,2416,180,1,1,risky first
2188,2275,181.3,1,1,risky first
2059,2095,221.5,1,1,risky first
1879,1915,254.6,1,1,risky first
1699,1795,216.3,1,1,risky first
1519,1615,254.6,1,1,risky first
1339,1537,196.2,1,1,risky first
1159,1447,201.2,1,1,risky first
1147,1627,180.4,1,1,risky first
1228,1807,197.4,1,1,risky first
1309,1987,197.4,1,1,risky first
1465,2167,238.2,1,1,risky first
1645,2209,184.8,1,1,risky first
