x,y,DISTANCE,n,risk,safe_first
2764,1672,250.3517525,10,0,safe first
2584,1852,254.5584412,10,0,safe first
2404,2032,254.5584412,10,0,safe first
2365,2062,49.2036584,10,0,safe first
2239,2041,127.7380131,10,0,safe first
2134,2014,108.415866,10,0,safe first
2137,2026,12.36931688,10,0,safe first
2317,1855,248.276056,10,0,safe first
2497,1675,254.5584412,10,0,safe first
2677,1600,195,10,0,safe first
2857,1483,214.683488,10,0,safe first
2869,1462,24.18677324,10,0,safe first
2689,1537,195,10,0,safe first
2509,1717,254.5584412,10,0,safe first
2329,1897,254.5584412,10,0,safe first
2149,2038,228.6503881,10,0,safe first
2113,2002,50.91168825,10,0,safe first
2293,1867,225,10,0,safe first
2473,1795,193.8659331,10,0,safe first
2653,1669,219.7180011,10,0,safe first
2833,1546,218.0114676,10,0,safe first
2950,1480,134.3316791,10,0,safe first
2980,1438,51.6139516,10,0,safe first
2896,1477,92.61209424,10,0,safe first
2896,1423,54,10,0,safe first
2728,1282,219.3285207,10,0,safe first
2548,1147,225,10,0,safe first
2377,997,227.466481,10,0,safe first
2218,817,240.1686907,10,0,safe first
2059,742,175.8010239,10,0,safe first
2038,922,181.2208597,10,0,safe first
1984,994,90,10,0,safe first
1924,1084,108.1665383,10,0,safe first
2014,1168,123.1097072,10,0,safe first
1909,1078,138.2931669,10,0,safe first
1996,949,155.5956298,10,0,safe first
2068,940,72.56031973,10,0,safe first
2056,844,96.74709298,10,0,safe first
2074,763,82.97590012,10,0,safe first
2182,859,144.4991349,10,0,safe first
2182,1039,180,10,0,safe first
2182,1219,180,10,0,safe first
2143,1399,184.1765457,10,0,safe first
2185,1579,184.8350616,10,0,safe first
2146,1759,184.1765457,10,0,safe first
2110,1939,183.5647025,10,0,safe first
2110,1921,18,10,0,safe first
2170,1741,189.7366596,10,0,safe first
2170,1561,180,10,0,safe first
2170,1381,180,10,0,safe first
2170,1201,180,10,0,safe first
2170,1021,180,10,0,safe first
2170,841,180,10,0,safe first
2041,844,129.034879,10,0,safe first
1972,961,135.8307771,10,0,safe first
1933,1105,149.1878011,10,0,safe first
1978,1183,90.04998612,10,0,safe first
1933,1057,133.7946187,10,0,safe first
2008,973,112.6099463,10,0,safe first
2050,826,152.8823077,10,0,safe first
2104,787,66.61080993,10,0,safe first
2149,937,156.6045976,10,0,safe first
2149,1117,180,10,0,safe first
2149,1297,180,10,0,safe first
2149,1477,180,10,0,safe first
2149,1657,180,10,0,safe first
2149,1837,180,10,0,safe first
2083,2011,186.096749,10,0,safe first
2107,1873,140.0714104,10,0,safe first
2170,1720,165.4629868,10,0,safe first
2173,1540,180.0249983,10,0,safe first
2188,1384,156.7194946,10,0,safe first
2167,1204,181.2208597,10,0,safe first
2167,1024,180,10,0,safe first
2167,844,180,10,0,safe first
2056,826,112.4499889,10,0,safe first
1999,952,138.2931669,10,0,safe first
1921,1012,98.4073168,10,0,safe first
1951,1183,173.6116356,10,0,safe first
1927,1126,61.84658438,10,0,safe first
1963,994,136.821051,10,0,safe first
2035,877,137.3790377,10,0,safe first
2143,730,182.4088814,10,0,safe first
2149,892,162.111073,10,0,safe first
2149,1072,180,10,0,safe first
2149,1252,180,10,0,safe first
2149,1432,180,10,0,safe first
2149,1612,180,10,0,safe first
2149,1792,180,10,0,safe first
2074,1966,189.4755921,10,0,safe first
2113,1834,137.640837,10,0,safe first
2218,1654,208.3866598,10,0,safe first
2182,1474,183.5647025,10,0,safe first
2158,1294,181.5929514,10,0,safe first
2158,1114,180,10,0,safe first
2158,934,180,10,0,safe first
2101,790,154.870914,10,0,safe first
2032,907,135.8307771,10,0,safe first
1918,985,138.1303732,10,0,safe first
1936,1165,180.8977612,10,0,safe first
1900,1153,37.94733192,10,0,safe first
1933,997,159.4521872,10,0,safe first
1999,964,73.79024326,10,0,safe first
2029,850,117.8812962,10,0,safe first
2110,769,114.5512986,10,0,safe first
2149,934,169.5464538,10,0,safe first
2149,1114,180,10,0,safe first
2146,1294,180.0249983,10,0,safe first
2098,1474,186.2900964,10,0,safe first
2098,1654,180,10,0,safe first
2407,2065,180,11,0,risky first
2566,2065,159,11,0,risky first
2566,1924,141,11,0,risky first
2566,1861,63,11,0,risky first
2566,2041,180,11,0,risky first
2566,2221,180,11,0,risky first
2566,2401,180,11,0,risky first
2392,2410,174.2326031,11,0,risky first
2212,2410,180,11,0,risky first
2032,2410,180,11,0,risky first
1852,2410,180,11,0,risky first
1672,2410,180,11,0,risky first
1492,2410,180,11,0,risky first
1519,2377,42.63801121,11,0,risky first
1519,2197,180,11,0,risky first
1519,2017,180,11,0,risky first
1519,1837,180,11,0,risky first
1519,1657,180,11,0,risky first
1594,1528,149.2179614,11,0,risky first
1774,1528,180,11,0,risky first
1894,1456,139.9428455,11,0,risky first
1981,1303,176.0056817,11,0,risky first
1987,1207,96.18731725,11,0,risky first
1987,1387,180,11,0,risky first
1984,1567,180.0249983,11,0,risky first
1984,1747,180,11,0,risky first
1984,1927,180,11,0,risky first
2089,2014,136.3598181,11,0,risky first
2071,1909,106.5316854,11,0,risky first
2059,1729,180.3995565,11,0,risky first
2011,1549,186.2900964,11,0,risky first
2035,1369,181.5929514,11,0,risky first
2107,1189,193.8659331,11,0,risky first
2053,1219,61.77378085,11,0,risky first
2098,1285,79.88116173,11,0,risky first
2098,1435,150,11,0,risky first
2098,1615,180,11,0,risky first
2053,1795,185.5397532,11,0,risky first
2071,1975,180.8977612,11,0,risky first
2083,2017,43.68065934,11,0,risky first
2128,1837,185.5397532,11,0,risky first
2140,1657,180.3995565,11,0,risky first
2164,1477,181.5929514,11,0,risky first
2164,1297,180,11,0,risky first
2164,1117,180,11,0,risky first
2071,1000,149.4590245,11,0,risky first
2011,1159,169.9441085,11,0,risky first
1909,1009,181.3945975,11,0,risky first
1873,1069,69.97142274,11,0,risky first
1807,1192,139.5886815,11,0,risky first
1834,1372,182.0137357,11,0,risky first
1909,1552,195,11,0,risky first
1996,1732,199.922485,11,0,risky first
2041,1912,185.5397532,11,0,risky first
2062,2020,110.0227249,11,0,risky first
2062,1840,180,11,0,risky first
2098,1660,183.5647025,11,0,risky first
2146,1480,186.2900964,11,0,risky first
2152,1300,180.0999722,11,0,risky first
2152,1120,180,11,0,risky first
2098,1003,128.8603896,11,0,risky first
2074,919,87.36131867,11,0,risky first
1933,988,156.9777054,11,0,risky first
1969,1156,171.8138528,11,0,risky first
1969,1090,66,11,0,risky first
1903,1063,71.30918594,11,0,risky first
1795,1108,117,11,0,risky first
1819,1288,181.5929514,11,0,risky first
1933,1468,213.0633709,11,0,risky first
1960,1648,182.0137357,11,0,risky first
1960,1828,180,11,0,risky first
2089,2008,221.4520264,11,0,risky first
2092,2098,90.04998612,11,0,risky first
2092,1918,180,11,0,risky first
2092,1738,180,11,0,risky first
2092,1558,180,11,0,risky first
2128,1378,183.5647025,11,0,risky first
2176,1198,186.2900964,11,0,risky first
2155,1018,181.2208597,11,0,risky first
2182,838,182.0137357,11,0,risky first
2320,754,161.5549442,11,0,risky first
2500,754,180,11,0,risky first
2680,754,180,11,0,risky first
2860,754,180,11,0,risky first
3040,754,180,11,0,risky first
3220,754,180,11,0,risky first
3295,859,129.034879,11,0,risky first
3280,1039,180.6239187,11,0,risky first
3136,1219,230.5124725,11,0,risky first
3013,1399,218.0114676,11,0,risky first
2833,1447,186.2900964,11,0,risky first
2653,1447,180,11,0,risky first
2473,1447,180,11,0,risky first
2293,1447,180,11,0,risky first
2146,1570,191.6715941,11,0,risky first
2092,1750,187.9255172,11,0,risky first
2068,1930,181.5929514,11,0,risky first
2137,2050,138.4232639,11,0,risky first
2317,2050,180,11,0,risky first
2497,2041,180.2248596,11,0,risky first
2677,1933,209.9142682,11,0,risky first
2857,1762,248.276056,11,0,risky first
2962,1651,152.7939789,11,0,risky first
2914,1489,168.9615341,11,0,risky first
2746,1465,169.7056275,11,0,risky first
2566,1564,205.4288198,11,0,risky first
2386,1684,216.3330765,11,0,risky first
2206,1771,199.922485,11,0,risky first
2053,1951,236.2392855,11,0,risky first
2146,2029,121.3795699,11,0,risky first
2326,2002,182.0137357,11,0,risky first
2506,1858,230.5124725,11,0,risky first
2686,1732,219.7180011,11,0,risky first
2866,1576,238.1931989,11,0,risky first
2914,1474,112.7297654,11,0,risky first
2734,1498,181.5929514,11,0,risky first
2554,1639,228.6503881,11,0,risky first
2374,1798,240.1686907,11,0,risky first
2194,1978,254.5584412,11,0,risky first
2158,2050,80.49844719,11,0,risky first
2338,2050,180,11,0,risky first
2518,2017,183,11,0,risky first
2698,1837,254.5584412,11,0,risky first
2878,1657,254.5584412,11,0,risky first
2902,1477,181.5929514,11,0,risky first
2815,1465,87.82368701,11,0,risky first
2635,1567,206.8912758,11,0,risky first
2455,1747,254.5584412,11,0,risky first
2275,1927,254.5584412,11,0,risky first
2095,2014,199.922485,11,0,risky first
2194,2065,111.3642672,11,0,risky first
2374,2032,183,11,0,risky first
2554,1897,225,11,0,risky first
2734,1732,244.1823089,11,0,risky first
2893,1681,166.9790406,11,0,risky first
2923,1501,182.4828759,11,0,risky first
2803,1480,121.823643,11,0,risky first
2623,1570,201.246118,11,0,risky first
2443,1723,236.2392855,11,0,risky first
2263,1864,228.6503881,11,0,risky first
2083,2038,250.3517525,11,0,risky first
2239,2038,156,11,0,risky first
2419,1888,234.3074903,11,0,risky first
2599,1759,221.4520264,11,0,risky first
2779,1648,211.4734026,11,0,risky first
2938,1480,231.3114783,11,0,risky first
2758,1600,216.3330765,11,0,risky first
2578,1744,230.5124725,11,0,risky first
2398,1834,201.246118,11,0,risky first
2218,1945,211.4734026,11,0,risky first
2101,2014,135.8307771,11,0,risky first
2281,2041,182.0137357,11,0,risky first
2461,1891,234.3074903,11,0,risky first
2641,1756,225,11,0,risky first
2821,1609,232.3983649,11,0,risky first
2923,1468,174.0258601,11,0,risky first
2743,1576,209.9142682,11,0,risky first
2563,1756,254.5584412,11,0,risky first
2383,1888,223.2129029,11,0,risky first
2203,2020,223.2129029,11,0,risky first
2173,2023,30.14962686,11,0,risky first
2353,1930,202.6055281,11,0,risky first
2533,1828,206.8912758,11,0,risky first
2713,1705,218.0114676,11,0,risky first
2893,1525,254.5584412,11,0,risky first
2824,1564,79.25906888,11,0,risky first
2644,1744,254.5584412,11,0,risky first
2464,1849,208.3866598,11,0,risky first
2284,1948,205.4288198,11,0,risky first
2104,2053,208.3866598,11,0,risky first
2257,2032,154.4344521,11,0,risky first
2437,1933,205.4288198,11,0,risky first
2617,1861,193.8659331,11,0,risky first
2797,1714,232.3983649,11,0,risky first
2977,1534,254.5584412,11,0,risky first
2920,1450,101.5135459,11,0,risky first
2740,1567,214.683488,11,0,risky first
2560,1747,254.5584412,11,0,risky first
2380,1900,236.2392855,11,0,risky first
2200,2002,206.8912758,11,0,risky first
2188,2056,55.31726674,11,0,risky first
2368,2056,180,11,0,risky first
2548,1882,250.3517525,11,0,risky first
2728,1702,254.5584412,11,0,risky first
2908,1522,254.5584412,11,0,risky first
2797,1543,112.9690223,11,0,risky first
2617,1654,211.4734026,11,0,risky first
2437,1750,204,11,0,risky first
2257,1891,228.6503881,11,0,risky first
2122,2047,206.303175,11,0,risky first
2302,1921,219.7180011,11,0,risky first
2482,1819,206.8912758,11,0,risky first
2662,1723,204,11,0,risky first
2842,1567,238.1931989,11,0,risky first
2836,1492,75.23961722,11,0,risky first
2893,1486,57.31491952,11,0,risky first
2854,1501,41.78516483,11,0,risky first
2923,1402,120.6731122,11,0,risky first
2974,1525,133.1540461,11,0,risky first
2890,1705,198.6353443,11,0,risky first
2890,1885,180,11,0,risky first
2854,2065,183.5647025,11,0,risky first
2800,2245,187.9255172,11,0,risky first
2785,2425,180.6239187,11,0,risky first
2767,2605,180.8977612,11,0,risky first
2767,2785,180,11,0,risky first
2845,2965,196.1733927,11,0,risky first
3025,3145,254.5584412,11,0,risky first
3076,3325,187.0855419,11,0,risky first
2896,3268,188.8094277,11,0,risky first
2758,3130,195.1614716,11,0,risky first
2656,3130,102,11,0,risky first
2476,3013,214.683488,11,0,risky first
2296,3079,191.7185437,11,0,risky first
2116,3259,254.5584412,11,0,risky first
1936,3160,205.4288198,11,0,risky first
1756,3145,180.6239187,11,0,risky first
1576,3244,205.4288198,11,0,risky first
1396,3064,254.5584412,11,0,risky first
1216,3229,244.1823089,11,0,risky first
1036,3157,193.8659331,11,0,risky first
856,2977,254.5584412,11,0,risky first
676,2854,218.0114676,11,0,risky first
814,2779,157.0636814,11,0,risky first
931,2599,214.683488,11,0,risky first
1021,2419,201.246118,11,0,risky first
901,2239,216.3330765,11,0,risky first
982,2059,197.3854098,11,0,risky first
1054,1879,193.8659331,11,0,risky first
874,1699,254.5584412,11,0,risky first
805,1519,192.7718859,11,0,risky first
874,1339,192.7718859,11,0,risky first
847,1159,182.0137357,11,0,risky first
790,979,188.8094277,11,0,risky first
937,799,232.3983649,11,0,risky first
1078,775,143.0279693,11,0,risky first
1258,820,185.5397532,11,0,risky first
1438,820,180,11,0,risky first
1618,850,182.4828759,11,0,risky first
1771,877,155.3640885,11,0,risky first
1870,748,162.6099628,11,0,risky first
1996,769,127.7380131,11,0,risky first
2026,916,150.029997,11,0,risky first
1963,994,100.2646498,11,0,risky first
1927,1081,94.15412896,11,0,risky first
1936,1126,45.89117562,11,0,risky first
1984,982,151.7893277,11,0,risky first
2008,862,122.3764683,11,0,risky first
2188,820,184.8350616,11,0,risky first
2191,1000,180.0249983,11,0,risky first
2191,1180,180,11,0,risky first
2191,1360,180,11,0,risky first
2155,1540,183.5647025,11,0,risky first
2092,1720,190.7065809,11,0,risky first
2080,1900,180.3995565,11,0,risky first
2131,2071,178.4432683,11,0,risky first
2311,1978,202.6055281,11,0,risky first
2413,1798,206.8912758,11,0,risky first
2413,1618,180,11,0,risky first
2413,1438,180,11,0,risky first
2413,1258,180,11,0,risky first
2422,1078,180.2248596,11,0,risky first
2602,898,254.5584412,11,0,risky first
2782,838,189.7366596,11,0,risky first
2962,841,180.0249983,11,0,risky first
3142,772,192.7718859,11,0,risky first
3307,808,168.8816153,11,0,risky first
3205,916,148.5530208,11,0,risky first
3121,1045,153.9382993,11,0,risky first
3049,1198,169.0946481,11,0,risky first
2953,1378,204,11,0,risky first
2833,1525,189.7603752,11,0,risky first
2728,1705,208.3866598,11,0,risky first
2749,1885,181.2208597,11,0,risky first
2569,2065,254.5584412,11,0,risky first
2389,2245,254.5584412,11,0,risky first
2209,2269,181.5929514,11,0,risky first
2029,2434,244.1823089,11,0,risky first
1849,2299,225,11,0,risky first
1669,2308,180.2248596,11,0,risky first
1489,2236,193.8659331,11,0,risky first
1309,2137,205.4288198,11,0,risky first
1129,2092,185.5397532,11,0,risky first
1024,2050,113.0884609,11,0,risky first
1024,1870,180,11,0,risky first
1138,1690,213.0633709,11,0,risky first
1318,1510,254.5584412,11,0,risky first
1498,1360,234.3074903,11,0,risky first
1678,1318,184.8350616,11,0,risky first
1723,1138,185.5397532,11,0,risky first
1741,958,180.8977612,11,0,risky first
1828,778,199.922485,11,0,risky first
1996,706,182.7785545,11,0,risky first
2008,868,162.4438364,11,0,risky first
1924,994,151.4331536,11,0,risky first
1921,1114,120.0374941,11,0,risky first
1990,1117,69.0651866,11,0,risky first
1918,1066,88.23264702,11,0,risky first
1969,949,127.6322843,11,0,risky first
2329,2065,162,11,1,risky first
2509,2065,180,11,1,risky first
2689,2065,180,11,1,risky first
2869,2065,180,11,1,risky first
3049,2137,193.8659331,11,1,risky first
3229,2137,180,11,1,risky first
3268,2038,106.4048871,11,1,risky first
3310,1987,66.06814664,11,1,risky first
3226,1807,198.6353443,11,1,risky first
3169,1627,188.8094277,11,1,risky first
3142,1447,182.0137357,11,1,risky first
3097,1267,185.5397532,11,1,risky first
3097,1087,180,11,1,risky first
3097,907,180,11,1,risky first
3040,772,146.5400969,11,1,risky first
2860,805,183,11,1,risky first
2680,841,183.5647025,11,1,risky first
2500,841,180,11,1,risky first
2320,841,180,11,1,risky first
2140,841,180,11,1,risky first
1960,841,180,11,1,risky first
1780,877,183.5647025,11,1,risky first
1600,877,180,11,1,risky first
1420,877,180,11,1,risky first
1240,955,196.1733927,11,1,risky first
1060,1093,226.8126981,11,1,risky first
964,1273,204,11,1,risky first
1099,1321,143.2794472,11,1,risky first
1258,1411,182.7046797,11,1,risky first
1438,1411,180,11,1,risky first
1618,1411,180,11,1,risky first
1798,1573,242.1652328,11,1,risky first
1867,1753,192.7718859,11,1,risky first
1840,1897,146.5093854,11,1,risky first
2020,1897,180,11,1,risky first
2074,2035,148.1890684,11,1,risky first
1951,2035,123,11,1,risky first
1771,2014,181.2208597,11,1,risky first
1591,1870,230.5124725,11,1,risky first
1411,1798,193.8659331,11,1,risky first
1231,1789,180.2248596,11,1,risky first
1051,1609,254.5584412,11,1,risky first
982,1498,130.6981255,11,1,risky first
1066,1441,101.5135459,11,1,risky first
1246,1441,180,11,1,risky first
1393,1441,147,11,1,risky first
1327,1558,134.3316791,11,1,risky first
1498,1594,174.7483906,11,1,risky first
1537,1630,53.07541804,11,1,risky first
1582,1810,185.5397532,11,1,risky first
1645,1948,151.7003626,11,1,risky first
1600,1948,45,11,1,risky first
1444,2098,216.4162656,11,1,risky first
1399,2062,57.62811814,11,1,risky first
1468,1963,120.6731122,11,1,risky first
1288,1864,205.4288198,11,1,risky first
1108,1837,182.0137357,11,1,risky first
943,1726,198.861761,11,1,risky first
937,1546,180.0999722,11,1,risky first
1018,1432,139.8463442,11,1,risky first
1198,1432,180,11,1,risky first
1333,1519,160.6051058,11,1,risky first
1435,1600,130.2497601,11,1,risky first
1582,1639,152.0855023,11,1,risky first
1588,1819,180.0999722,11,1,risky first
1768,1828,180.2248596,11,1,risky first
1948,1828,180,11,1,risky first
2032,1939,139.2012931,11,1,risky first
2032,1951,12,11,1,risky first
1861,1771,248.276056,11,1,risky first
1681,1591,254.5584412,11,1,risky first
1501,1411,254.5584412,11,1,risky first
1321,1309,206.8912758,11,1,risky first
1198,1369,136.8539367,11,1,risky first
1204,1324,45.39823785,11,1,risky first
1336,1264,144.9965517,11,1,risky first
1495,1444,240.1686907,11,1,risky first
1675,1624,254.5584412,11,1,risky first
1855,1804,254.5584412,11,1,risky first
2029,1975,243.9610625,11,1,risky first
1990,1963,40.80441153,11,1,risky first
1810,1783,254.5584412,11,1,risky first
1630,1603,254.5584412,11,1,risky first
1450,1423,254.5584412,11,1,risky first
1399,1495,88.23264702,11,1,risky first
1270,1675,221.4520264,11,1,risky first
1195,1744,101.9117265,11,1,risky first
1033,1564,242.1652328,11,1,risky first
940,1408,181.6177304,11,1,risky first
1018,1369,87.20665112,11,1,risky first
1018,1357,12,11,1,risky first
1084,1312,79.88116173,11,1,risky first
1153,1387,101.9117265,11,1,risky first
1069,1282,134.465609,11,1,risky first
1123,1201,97.34988444,11,1,risky first
1276,1069,202.0717694,11,1,risky first
1333,1153,101.5135459,11,1,risky first
1513,1333,254.5584412,11,1,risky first
1693,1513,254.5584412,11,1,risky first
1873,1693,254.5584412,11,1,risky first
2002,1873,221.4520264,11,1,risky first
2092,2053,201.246118,11,1,risky first
2074,2233,180.8977612,11,1,risky first
2074,2413,180,11,1,risky first
2074,2593,180,11,1,risky first
2074,2773,180,11,1,risky first
1936,2953,226.8126981,11,1,risky first
1756,3118,244.1823089,11,1,risky first
1891,3292,220.2294258,11,1,risky first
1924,3328,48.83646179,11,1,risky first
2104,3223,208.3866598,11,1,risky first
2284,3043,254.5584412,11,1,risky first
2464,2863,254.5584412,11,1,risky first
2644,2683,254.5584412,11,1,risky first
2824,2503,254.5584412,11,1,risky first
3004,2323,254.5584412,11,1,risky first
3184,2143,254.5584412,11,1,risky first
3196,1963,180.3995565,11,1,risky first
3016,1783,254.5584412,11,1,risky first
2836,1603,254.5584412,11,1,risky first
2656,1423,254.5584412,11,1,risky first
2476,1243,254.5584412,11,1,risky first
2305,1075,239.718585,11,1,risky first
2209,1216,170.5784277,11,1,risky first
2152,1201,58.94064811,11,1,risky first
2152,1369,168,11,1,risky first
2086,1549,191.7185437,11,1,risky first
1960,1729,219.7180011,11,1,risky first
1906,1909,187.9255172,11,1,risky first
2038,1999,159.7623235,11,1,risky first
2038,1819,180,11,1,risky first
2038,1639,180,11,1,risky first
2071,1459,183,11,1,risky first
2107,1279,183.5647025,11,1,risky first
2107,1336,57,11,1,risky first
2107,1516,180,11,1,risky first
2107,1696,180,11,1,risky first
2107,1876,180,11,1,risky first
2089,2053,177.9129,11,1,risky first
1942,1981,163.6856744,11,1,risky first
1942,1801,180,11,1,risky first
2047,1621,208.3866598,11,1,risky first
2134,1441,199.922485,11,1,risky first
2119,1261,180.6239187,11,1,risky first
2113,1201,60.29925373,11,1,risky first
1951,1381,242.1652328,11,1,risky first
1942,1561,180.2248596,11,1,risky first
2065,1741,218.0114676,11,1,risky first
2041,1921,181.5929514,11,1,risky first
2017,2068,148.946299,11,1,risky first
1930,1894,194.537914,11,1,risky first
1876,1714,187.9255172,11,1,risky first
1921,1534,185.5397532,11,1,risky first
2062,1354,228.6503881,11,1,risky first
2059,1180,174.0258601,11,1,risky first
2197,1234,148.1890684,11,1,risky first
2344,1414,232.3983649,11,1,risky first
2164,1594,254.5584412,11,1,risky first
2119,1774,185.5397532,11,1,risky first
2104,1954,180.6239187,11,1,risky first
1978,1981,128.8603896,11,1,risky first
1798,1801,254.5584412,11,1,risky first
1861,1621,190.7065809,11,1,risky first
2011,1441,234.3074903,11,1,risky first
2056,1261,185.5397532,11,1,risky first
2188,1243,133.2216199,11,1,risky first
2335,1423,232.3983649,11,1,risky first
2155,1603,254.5584412,11,1,risky first
2119,1783,183.5647025,11,1,risky first
2128,1963,180.2248596,11,1,risky first
2023,1951,105.6834897,11,1,risky first
1903,1771,216.3330765,11,1,risky first
1981,1591,196.1733927,11,1,risky first
2035,1411,187.9255172,11,1,risky first
2065,1231,182.4828759,11,1,risky first
2245,1273,184.8350616,11,1,risky first
2338,1453,202.6055281,11,1,risky first
2308,1633,182.4828759,11,1,risky first
2176,1813,223.2129029,11,1,risky first
2134,1993,184.8350616,11,1,risky first
2080,1906,102.396289,11,1,risky first
1900,1726,254.5584412,11,1,risky first
2035,1546,225,11,1,risky first
2092,1366,188.8094277,11,1,risky first
2119,1192,176.0823671,11,1,risky first
2272,1363,229.4558781,11,1,risky first
2296,1543,181.5929514,11,1,risky first
2251,1723,185.5397532,11,1,risky first
2098,1903,236.2392855,11,1,risky first
2032,1999,116.498927,11,1,risky first
1972,1819,189.7366596,11,1,risky first
1975,1639,180.0249983,11,1,risky first
2044,1459,192.7718859,11,1,risky first
2065,1279,181.2208597,11,1,risky first
2191,1225,137.0839159,11,1,risky first
2314,1405,218.0114676,11,1,risky first
2290,1585,181.5929514,11,1,risky first
2203,1765,199.922485,11,1,risky first
2104,1945,205.4288198,11,1,risky first
2041,1972,68.54195795,11,1,risky first
1933,1792,209.9142682,11,1,risky first
2095,1612,242.1652328,11,1,risky first
2098,1432,180.0249983,11,1,risky first
2110,1252,180.3995565,11,1,risky first
2248,1309,149.3084057,11,1,risky first
2314,1489,191.7185437,11,1,risky first
2215,1669,205.4288198,11,1,risky first
2101,1849,213.0633709,11,1,risky first
2065,2008,163.024538,11,1,risky first
2029,1909,105.3422992,11,1,risky first
1909,1777,178.392825,11,1,risky first
2065,1597,238.1931989,11,1,risky first
2077,1417,180.3995565,11,1,risky first
2032,1237,185.5397532,11,1,risky first
2155,1276,129.034879,11,1,risky first
2287,1456,223.2129029,11,1,risky first
2161,1636,219.7180011,11,1,risky first
2137,1816,181.5929514,11,1,risky first
2089,1996,186.2900964,11,1,risky first
1951,1930,152.9705854,11,1,risky first
1915,1750,183.5647025,11,1,risky first
2044,1570,221.4520264,11,1,risky first
2029,1390,180.6239187,11,1,risky first
2071,1210,184.8350616,11,1,risky first
2137,1228,68.41052551,11,1,risky first
2170,1201,42.63801121,11,1,risky first
2350,1243,184.8350616,11,1,risky first
2431,1393,170.4728717,11,1,risky first
2251,1573,254.5584412,11,1,risky first
2071,1753,254.5584412,11,1,risky first
2101,1933,182.4828759,11,1,risky first
2125,2113,181.5929514,11,1,risky first
2140,2293,180.6239187,11,1,risky first
2071,2473,192.7718859,11,1,risky first
2212,2653,228.6503881,11,1,risky first
2389,2833,252.4460338,11,1,risky first
2209,3013,254.5584412,11,1,risky first
2110,3193,205.4288198,11,1,risky first
2131,3364,172.2846482,11,1,risky first
1951,3223,228.6503881,11,1,risky first
1771,3043,254.5584412,11,1,risky first
1684,2869,194.537914,11,1,risky first
1504,2899,182.4828759,11,1,risky first
1324,3070,248.276056,11,1,risky first
1144,3250,254.5584412,11,1,risky first
964,3175,195,11,1,risky first
784,3052,218.0114676,11,1,risky first
868,2989,105,11,1,risky first
886,2809,180.8977612,11,1,risky first
862,2629,181.5929514,11,1,risky first
832,2449,182.4828759,11,1,risky first
1012,2269,254.5584412,11,1,risky first
1024,2089,180.3995565,11,1,risky first
844,1909,254.5584412,11,1,risky first
817,1729,182.0137357,11,1,risky first
913,1549,204,11,1,risky first
928,1369,180.6239187,11,1,risky first
928,1189,180,11,1,risky first
928,1009,180,11,1,risky first
1105,868,226.296266,11,1,risky first
1177,949,108.3743512,11,1,risky first
1222,1096,153.7335357,11,1,risky first
1162,1246,161.5549442,11,1,risky first
1132,1354,112.0892502,11,1,risky first
1111,1369,25.8069758,11,1,risky first
1153,1324,61.55485359,11,1,risky first
1243,1324,90,11,1,risky first
1132,1324,111,11,1,risky first
1177,1228,106.0235823,11,1,risky first
1243,1108,136.9525465,11,1,risky first
1270,1024,88.23264702,11,1,risky first
1450,1162,226.8126981,11,1,risky first
1630,1342,254.5584412,11,1,risky first
1810,1522,254.5584412,11,1,risky first
1990,1702,254.5584412,11,1,risky first
2131,1882,228.6503881,11,1,risky first
2077,2047,173.6116356,11,1,risky first
2035,1933,121.4907404,11,1,risky first
1915,1753,216.3330765,11,1,risky first
1735,1573,254.5584412,11,1,risky first
1555,1393,254.5584412,11,1,risky first
1426,1213,221.4520264,11,1,risky first
1306,1033,216.3330765,11,1,risky first
1237,1141,128.1600562,11,1,risky first
1132,1246,148.492424,11,1,risky first
1171,1408,166.6283289,11,1,risky first
1117,1294,126.1427762,11,1,risky first
2176,2065,0,12,0,safe first
2158,2065,18,12,0,safe first
2212,2194,139.8463442,12,0,safe first
2392,2194,180,12,0,safe first
2572,2194,180,12,0,safe first
2752,2194,180,12,0,safe first
2932,2194,180,12,0,safe first
3112,2194,180,12,0,safe first
3292,2194,180,12,0,safe first
3295,2365,171.0263138,12,0,safe first
3295,2545,180,12,0,safe first
3253,2680,141.38246,12,0,safe first
3073,2680,180,12,0,safe first
3070,2860,180.0249983,12,0,safe first
3070,3040,180,12,0,safe first
3070,3220,180,12,0,safe first
2974,3301,125.6065285,12,0,safe first
2794,3301,180,12,0,safe first
2614,3301,180,12,0,safe first
2434,3301,180,12,0,safe first
2254,3301,180,12,0,safe first
2125,3256,136.6235704,12,0,safe first
2014,3178,135.6650287,12,0,safe first
1834,3178,180,12,0,safe first
1654,3178,180,12,0,safe first
1474,3178,180,12,0,safe first
1294,3178,180,12,0,safe first
1135,3178,159,12,0,safe first
1087,3292,123.6931688,12,0,safe first
907,3292,180,12,0,safe first
748,3271,160.3807969,12,0,safe first
748,3091,180,12,0,safe first
748,2911,180,12,0,safe first
748,2731,180,12,0,safe first
748,2551,180,12,0,safe first
748,2371,180,12,0,safe first
748,2191,180,12,0,safe first
748,2011,180,12,0,safe first
748,1831,180,12,0,safe first
748,1651,180,12,0,safe first
748,1471,180,12,0,safe first
748,1291,180,12,0,safe first
748,1111,180,12,0,safe first
748,931,180,12,0,safe first
880,886,139.4596716,12,0,safe first
1060,886,180,12,0,safe first
1174,886,114,12,0,safe first
